LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-03-12 14:12:01,1900-01-00 00:00:00,,FC:D7:33:B1:83:40,-72, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,D8:15:0D:B7:EB:68,-75, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,50:89:65:18:02:85,-75, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,24:69:68:6E:F2:DC,-77, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,A4:56:02:2C:9A:A1,-81, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,A8:15:4D:4D:7C:4C,-74, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,8C:21:0A:61:38:60,-77, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,JAZZ,FC:D7:33:B1:83:40,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,FAST_B7EB68,D8:15:0D:B7:EB:68,-76, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,MERCURY_0285,50:89:65:18:02:85,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_1202,24:69:68:6E:F2:DC,-81, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,TP-LINK_7C4C,A8:15:4D:4D:7C:4C,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,74:05:A5:17:46:E4,-59, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,F4:BF:80:03:4A:9C,-84, ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,,44:04:44:01:68:7D,-81,,0.000000,0.000000,0.000,0.000,Client
2020-03-12 14:12:01,1900-01-00 00:00:00,ME,8C:21:0A:61:38:60,-74, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,JAZZ,FC:D7:33:B1:83:40,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,FAST_B7EB68,D8:15:0D:B7:EB:68,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2020-03-12 14:12:01,1900-01-00 00:00:00,MERCURY_0285,50:89:65:18:02:85,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
